Criterion,max_depth,min_samples_split,accuracy
entropy,6,15,0.83
entropy,6,16,0.83
entropy,6,17,0.83
entropy,6,18,0.83
entropy,6,19,0.83
entropy,6,20,0.83
entropy,7,2,0.8125
entropy,7,3,0.8125
entropy,7,4,0.8125
entropy,7,5,0.8125
entropy,7,6,0.8125
entropy,7,7,0.8125
entropy,7,8,0.8125
entropy,7,9,0.8125
entropy,7,10,0.8125
entropy,7,11,0.8125
entropy,7,12,0.8125
entropy,7,13,0.8125
entropy,7,14,0.81
entropy,7,15,0.81
entropy,7,16,0.81
entropy,7,17,0.81
entropy,7,18,0.81
entropy,7,19,0.81
entropy,7,20,0.81
entropy,8,2,0.8175
entropy,8,3,0.8175
entropy,8,4,0.8175
entropy,8,5,0.8175
entropy,8,6,0.8175
entropy,8,7,0.8175
entropy,8,8,0.8175
entropy,8,9,0.82
entropy,8,10,0.82
entropy,8,11,0.82
entropy,8,12,0.82
entropy,8,13,0.82
entropy,8,14,0.8175
entropy,8,15,0.8175
entropy,8,16,0.8175
entropy,8,17,0.8175
entropy,8,18,0.8175
entropy,8,19,0.8175
entropy,8,20,0.8175
entropy,9,2,0.81
entropy,9,3,0.81
entropy,9,4,0.81
entropy,9,5,0.81
entropy,9,6,0.81
entropy,9,7,0.81
entropy,9,8,0.81
entropy,9,9,0.8125
entropy,9,10,0.8125
entropy,9,11,0.8125
entropy,9,12,0.8125
entropy,9,13,0.815
entropy,9,14,0.8125
entropy,9,15,0.8125
entropy,9,16,0.8125
entropy,9,17,0.8125
entropy,9,18,0.8125
entropy,9,19,0.8125
entropy,9,20,0.8125
entropy,10,2,0.8025
entropy,10,3,0.8025
entropy,10,4,0.8025
entropy,10,5,0.8025
entropy,10,6,0.8025
entropy,10,7,0.8025
entropy,10,8,0.8075
entropy,10,9,0.81
entropy,10,10,0.81
entropy,10,11,0.81
entropy,10,12,0.81
entropy,10,13,0.8125
entropy,10,14,0.8125
entropy,10,15,0.8125
entropy,10,16,0.8125
entropy,10,17,0.8125
entropy,10,18,0.8125
entropy,10,19,0.8125
entropy,10,20,0.8125
entropy,11,2,0.8025
entropy,11,3,0.8025
entropy,11,4,0.8025
entropy,11,5,0.8025
entropy,11,6,0.8
entropy,11,7,0.8
entropy,11,8,0.805
entropy,11,9,0.8075
entropy,11,10,0.8075
entropy,11,11,0.8075
entropy,11,12,0.805
entropy,11,13,0.8075
entropy,11,14,0.8075
entropy,11,15,0.8075
entropy,11,16,0.8075
entropy,11,17,0.8075
entropy,11,18,0.8075
entropy,11,19,0.81
entropy,11,20,0.81
entropy,12,2,0.7875
entropy,12,3,0.7875
entropy,12,4,0.79
entropy,12,5,0.79
entropy,12,6,0.7875
entropy,12,7,0.79
entropy,12,8,0.795
entropy,12,9,0.7975
entropy,12,10,0.7975
entropy,12,11,0.7975
entropy,12,12,0.795
entropy,12,13,0.7975
entropy,12,14,0.7975
entropy,12,15,0.7975
entropy,12,16,0.7975
entropy,12,17,0.7975
entropy,12,18,0.7975
entropy,12,19,0.8
entropy,12,20,0.8
entropy,13,2,0.795
entropy,13,3,0.795
entropy,13,4,0.7975
entropy,13,5,0.7975
entropy,13,6,0.795
entropy,13,7,0.7975
entropy,13,8,0.8025
entropy,13,9,0.805
entropy,13,10,0.805
entropy,13,11,0.805
entropy,13,12,0.8025
entropy,13,13,0.805
entropy,13,14,0.8025
entropy,13,15,0.8025
entropy,13,16,0.8025
entropy,13,17,0.8
entropy,13,18,0.8
entropy,13,19,0.8025
entropy,13,20,0.8025
entropy,14,2,0.785
entropy,14,3,0.785
entropy,14,4,0.7875
entropy,14,5,0.7875
entropy,14,6,0.785
entropy,14,7,0.7875
entropy,14,8,0.795
entropy,14,9,0.7975
entropy,14,10,0.7975
entropy,14,11,0.7975
entropy,14,12,0.795
entropy,14,13,0.7975
entropy,14,14,0.795
entropy,14,15,0.795
entropy,14,16,0.795
entropy,14,17,0.795
entropy,14,18,0.795
entropy,14,19,0.7975
entropy,14,20,0.7975
entropy,15,2,0.775
entropy,15,3,0.775
entropy,15,4,0.7775
entropy,15,5,0.775
entropy,15,6,0.7725
entropy,15,7,0.775
entropy,15,8,0.7825
entropy,15,9,0.785
entropy,15,10,0.785
entropy,15,11,0.785
entropy,15,12,0.785
entropy,15,13,0.7875
entropy,15,14,0.785
entropy,15,15,0.785
entropy,15,16,0.785
entropy,15,17,0.785
entropy,15,18,0.7875
entropy,15,19,0.79
entropy,15,20,0.79
entropy,16,2,0.78
entropy,16,3,0.78
entropy,16,4,0.7825
entropy,16,5,0.78
entropy,16,6,0.7775
entropy,16,7,0.7775
entropy,16,8,0.7825
entropy,16,9,0.785
entropy,16,10,0.785
entropy,16,11,0.7825
entropy,16,12,0.7825
entropy,16,13,0.785
entropy,16,14,0.7825
entropy,16,15,0.7825
entropy,16,16,0.7825
entropy,16,17,0.7775
entropy,16,18,0.78
entropy,16,19,0.7825
entropy,16,20,0.7825
entropy,17,2,0.775
entropy,17,3,0.775
entropy,17,4,0.78
entropy,17,5,0.7775
entropy,17,6,0.775
entropy,17,7,0.775
entropy,17,8,0.78
entropy,17,9,0.7825
entropy,17,10,0.78
entropy,17,11,0.78
entropy,17,12,0.78
entropy,17,13,0.7825
entropy,17,14,0.78
entropy,17,15,0.78
entropy,17,16,0.7825
entropy,17,17,0.7775
entropy,17,18,0.78
entropy,17,19,0.7825
entropy,17,20,0.7825
entropy,18,2,0.765
entropy,18,3,0.765
entropy,18,4,0.77
entropy,18,5,0.7675
